标题／微博内容,信息属性,原创/转发,发布日期,原微博内容,认证类型,地域,城市,性别,全文内容,粉丝数,微博数,转,评,赞,话题,微博情绪,精准地域,中图地址,MD5-作者ID,MD5-mid,MD5-根微博mid,MD5-根微博用户UID,MD5-父微博ID,MD5-父微博用户ID
【海南生活垃圾进入全焚烧时代】海口市生活垃圾焚烧发电三期项目、文昌市生活垃圾焚烧发电二期项目、琼海市生活垃圾焚烧发电二期项目同时点火运营，标志着海南生活垃圾进入全焚烧时代。随着上述生活垃圾焚烧发电项目开始运营，海南省生活垃圾焚烧日处理能力达11575吨，处理能力首次超过全省生活垃圾产生量。 http://t.cn/A6UxLoi1,敏感,原创,2020/12/28 14:52, ,蓝V,北京, ,男,【海南生活垃圾进入全焚烧时代】海口市生活垃圾焚烧发电三期项目、文昌市生活垃圾焚烧发电二期项目、琼海市生活垃圾焚烧发电二期项目同时点火运营，标志着海南生活垃圾进入全焚烧时代。随着上述生活垃圾焚烧发电项目开始运营，海南省生活垃圾焚烧日处理能力达11575吨，处理能力首次超过全省生活垃圾产生量。 http://t.cn/A6UxLoi1,127247,322754,0,0,0, ,中性,"海南省,海南,海口市,文昌市,琼海市,海口", ,ab6c68482caa6413cf47527367604a36,b05e6fcce152f16f454145ab8a6bcec5,,,,
【海南生活垃圾进入全焚烧时代】28日，海口市生活垃圾焚烧发电三期项目、文昌市生活垃圾焚烧发电二期项目、琼海市生活垃圾焚烧发电二期项目同时点火运营，标志着海南生活垃圾进入全焚烧时代。据介绍，随着上述生活垃圾焚烧发电项目开始运营，海南省生活垃圾焚烧日处理能力达11575吨，处理能力首次超过全省生活垃圾产生量。http://t.cn/A6qjEv8O,敏感,原创,2020/12/28 14:53, ,蓝V,广东,深圳,男,【海南生活垃圾进入全焚烧时代】28日，海口市生活垃圾焚烧发电三期项目、文昌市生活垃圾焚烧发电二期项目、琼海市生活垃圾焚烧发电二期项目同时点火运营，标志着海南生活垃圾进入全焚烧时代。据介绍，随着上述生活垃圾焚烧发电项目开始运营，海南省生活垃圾焚烧日处理能力达11575吨，处理能力首次超过全省生活垃圾产生量。http://t.cn/A6qjEv8O,81778,438,0,0,1, ,中性,"海南省,海南,海口市,文昌市,琼海市,海口", ,9b97650f59ddf83a7a66eb6748e217d4,4b19a7c5f6e31574d694857ce3ac831c,,,,
【#海南生活垃圾进入全焚烧时代# 日处理能力超万吨】海口市生活垃圾焚烧发电三期项目、文昌市生活垃圾焚烧发电二期项目、琼海市生活垃圾焚烧发电二期项目同时点火运营，标志着海南生活垃圾进入全焚烧时代。随着上述生活垃圾焚烧发电项目开始运营，海南省生活垃圾焚烧日处理能力达11575吨，处理能力首次超过全省生活垃圾产生量。http://t.cn/A6qjE716,敏感,原创,2020/12/28 14:54, ,蓝V,北京, ,男,【#海南生活垃圾进入全焚烧时代# 日处理能力超万吨】海口市生活垃圾焚烧发电三期项目、文昌市生活垃圾焚烧发电二期项目、琼海市生活垃圾焚烧发电二期项目同时点火运营，标志着海南生活垃圾进入全焚烧时代。随着上述生活垃圾焚烧发电项目开始运营，海南省生活垃圾焚烧日处理能力达11575吨，处理能力首次超过全省生活垃圾产生量。http://t.cn/A6qjE716,23044706,235513,2,8,14,海南生活垃圾进入全焚烧时代,中性,"海南省,海南,海口市,文昌市,琼海市,海口", ,6c87a723ba495b516ccc5131f7737f98,0ab169fcccba2182efe174f6f43c67e7,,,,
【#海南生活垃圾进入全焚烧时代#】财联社12月28日讯，海口市生活垃圾焚烧发电三期项目、文昌市生活垃圾焚烧发电二期项目、琼海市生活垃圾焚烧发电二期项目同时点火运营，标志着海南生活垃圾进入全焚烧时代。随着上述生活垃圾焚烧发电项目开始运营，海南省生活垃圾焚烧日处理能力达11575吨，处理能力首次超过全省生活垃圾产生量。,敏感,原创,2020/12/28 14:54, ,蓝V,上海, ,男,【#海南生活垃圾进入全焚烧时代#】财联社12月28日讯，海口市生活垃圾焚烧发电三期项目、文昌市生活垃圾焚烧发电二期项目、琼海市生活垃圾焚烧发电二期项目同时点火运营，标志着海南生活垃圾进入全焚烧时代。随着上述生活垃圾焚烧发电项目开始运营，海南省生活垃圾焚烧日处理能力达11575吨，处理能力首次超过全省生活垃圾产生量。,1936515,151082,4,1,11,海南生活垃圾进入全焚烧时代,中性,"海南省,海南,海口市,文昌市,琼海市,海口","[http://wx4.sinaimg.cn/bmiddle/aafc85c3gy1gm3kr4fndtj20u01kxn33.jpg""]""",03960b4ec37d43e6d962a443940ca30f,b2938e406d2cec092cc716af01d19cf3,,,,
迈步投资分享-【海南生活垃圾进入全焚烧时代】海口市生活垃圾焚烧发电三期项目、文昌市生活垃圾焚烧发电二期项目、琼海市生活垃圾焚烧发电二期项目同时点火运营，标志着海南生活垃圾进入全焚烧时代。随着上述生活垃圾焚烧发电项目开始运营，海南省生活垃圾焚烧日处理能力达11575吨，处理能力首次超过全省生活垃圾产生量。（新浪财经）,敏感,原创,2020/12/28 15:01, ,普通,上海, ,男,迈步投资分享-【海南生活垃圾进入全焚烧时代】海口市生活垃圾焚烧发电三期项目、文昌市生活垃圾焚烧发电二期项目、琼海市生活垃圾焚烧发电二期项目同时点火运营，标志着海南生活垃圾进入全焚烧时代。随着上述生活垃圾焚烧发电项目开始运营，海南省生活垃圾焚烧日处理能力达11575吨，处理能力首次超过全省生活垃圾产生量。（新浪财经）,1,663,0,0,0, ,中性,"海南省,海南,海口市,文昌市,琼海市,海口", ,e6eddf4726c98dfad68d104f444fc6fd,57ac1065b1b9ab5aa70a9dd30f0dd7ef,,,,
【海南生活垃圾进入全焚烧时代】28日，海口市生活垃圾焚烧发电三期项目、文昌市生活垃圾焚烧发电二期项目、琼海市生活垃圾焚烧发电二期项目同时点火运营，标志着海南生活垃圾进入全焚烧时代。随着上述生活垃圾焚烧发电项目开始运营，海南省生活垃圾焚烧日处理能力达11575吨，处理能力首次超过全省生活垃圾产生量。采取全焚烧处理后，作为垃圾无害化处理设施的16座生活垃圾填埋场将全部停止接收生活垃圾，全省城乡生活垃圾全部运往焚烧发电厂进行处理。（新华社）,敏感,原创,2020/12/28 15:04, ,蓝V,广东,深圳,男,【海南生活垃圾进入全焚烧时代】28日，海口市生活垃圾焚烧发电三期项目、文昌市生活垃圾焚烧发电二期项目、琼海市生活垃圾焚烧发电二期项目同时点火运营，标志着海南生活垃圾进入全焚烧时代。随着上述生活垃圾焚烧发电项目开始运营，海南省生活垃圾焚烧日处理能力达11575吨，处理能力首次超过全省生活垃圾产生量。采取全焚烧处理后，作为垃圾无害化处理设施的16座生活垃圾填埋场将全部停止接收生活垃圾，全省城乡生活垃圾全部运往焚烧发电厂进行处理。（新华社）,2273969,78190,3,2,6, ,中性,"海南省,海南,海口市,文昌市,琼海市,海口", ,8a1a5c0f015b15a7b95f9ad6b6a09bb1,f0b8728a86923ca83342bc9dc8a3a903,,,,
海口市生活垃圾焚烧发电三期项目、文昌市生活垃圾焚烧发电二期项目、琼海市生活垃圾焚烧发电二期项目同时点火运营，标志着海南生活垃圾进入全焚烧时代。随着上述生活垃圾焚烧发电项目开始运营，海南省生活垃圾焚烧日处理能力达11575吨，处理能力首次超过全省生活垃圾产生量。 ??,敏感,原创,2020/12/28 15:07, ,普通,湖北, ,女,海口市生活垃圾焚烧发电三期项目、文昌市生活垃圾焚烧发电二期项目、琼海市生活垃圾焚烧发电二期项目同时点火运营，标志着海南生活垃圾进入全焚烧时代。随着上述生活垃圾焚烧发电项目开始运营，海南省生活垃圾焚烧日处理能力达11575吨，处理能力首次超过全省生活垃圾产生量。 ??,24,255,0,0,0, ,中性,"海南省,海南,海口市,文昌市,琼海市,海口", ,267ec4a10b73bc407a50439806e9d605,5b8ebc6b20a636026ace80f534da6d4d,,,,
海口市生活垃圾焚烧发电三期项目、文昌市生活垃圾焚烧发电二期项目、琼海市生活垃圾焚烧发电二期项目同时点火运营，标志着海南生活垃圾进入全焚烧时代。随着上述生活垃圾焚烧发电项目开始运营，海南省生活垃圾焚烧日处理能力达11575吨，处理能力首次超过全省生活垃圾产生量。 ??,敏感,原创,2020/12/28 15:07, ,普通,湖北, ,男,海口市生活垃圾焚烧发电三期项目、文昌市生活垃圾焚烧发电二期项目、琼海市生活垃圾焚烧发电二期项目同时点火运营，标志着海南生活垃圾进入全焚烧时代。随着上述生活垃圾焚烧发电项目开始运营，海南省生活垃圾焚烧日处理能力达11575吨，处理能力首次超过全省生活垃圾产生量。 ??,10085,1070,0,0,0, ,中性,"海南省,海南,海口市,文昌市,琼海市,海口", ,d5d0c8de028a2a4d93469bbd3a3b5c7a,a33ceddde043f75fbc66b76bac0e1dfa,,,,
【#海南生活垃圾进入全焚烧时代# 】12月28日，海口市生活垃圾焚烧发电三期项目、文昌市生活垃圾焚烧发电二期项目、琼海市生活垃圾焚烧发电二期项目同时点火运营，标志着海南生活垃圾进入全焚烧时代。随着上述生活垃圾焚烧发电项目开始运营，海南省生活垃圾焚烧日处理能力达11575吨，处理能力首次超过全省生活垃圾产生量。,敏感,原创,2020/12/28 15:08, ,蓝V,北京, ,男,【#海南生活垃圾进入全焚烧时代# 】12月28日，海口市生活垃圾焚烧发电三期项目、文昌市生活垃圾焚烧发电二期项目、琼海市生活垃圾焚烧发电二期项目同时点火运营，标志着海南生活垃圾进入全焚烧时代。随着上述生活垃圾焚烧发电项目开始运营，海南省生活垃圾焚烧日处理能力达11575吨，处理能力首次超过全省生活垃圾产生量。,66580,15803,0,0,1,海南生活垃圾进入全焚烧时代,中性,"海南省,海南,海口市,文昌市,琼海市,海口","[http://wx4.sinaimg.cn/bmiddle/7f6e880fly1gm3l3u0tktj20p00dwwj1.jpg""]""",d4f283ca4081e9ea1a50ed7bc69ac87c,94315a140054ea1f46b2fb0a537e0e75,,,,
？？ ,敏感,转发,2020/12/28 15:08,@财联社APP 【#海南生活垃圾进入全焚烧时代#】财联社12月28日讯，海口市生活垃圾焚烧发电三期项目、文昌市生活垃圾焚烧发电二期项目、琼海市生活垃圾焚烧发电二期项目同时点火运营，标志着海南生活垃圾进入全焚烧时代。随着上述生活垃圾焚烧发电项目开始运营，海南省生活垃圾焚烧日处理能力达11575吨，处理能力首次超过全省生活垃圾产生量。,普通,陕西, ,女,？？ 【原微博】 @财联社APP 【#海南生活垃圾进入全焚烧时代#】财联社12月28日讯，海口市生活垃圾焚烧发电三期项目、文昌市生活垃圾焚烧发电二期项目、琼海市生活垃圾焚烧发电二期项目同时点火运营，标志着海南生活垃圾进入全焚烧时代。随着上述生活垃圾焚烧发电项目开始运营，海南省生活垃圾焚烧日处理能力达11575吨，处理能力首次超过全省生活垃圾产生量。,20,735,0,0,0,海南生活垃圾进入全焚烧时代,中性,"海南省,海南,海口市,文昌市,琼海市,海口","[http://wx4.sinaimg.cn/bmiddle/aafc85c3gy1gm3kr4fndtj20u01kxn33.jpg""]""",9ca7f54a9875c0938a29eb78cca8a6bd,ef2b964b4ff5c15885fa7205e9f34889,b2938e406d2cec092cc716af01d19cf3,03960b4ec37d43e6d962a443940ca30f,b2938e406d2cec092cc716af01d19cf3,03960b4ec37d43e6d962a443940ca30f
#在微博一起12.12##好物推选官#@啊廖在线 #抖音号:A.LIAO##抖音音乐人##抖音直播##抖音音乐##直播带货##贝瑞66号化妆刷##抖音网红##抖音主播# http://t.cn/AisJpAaq http://t.cn/A6ysZbmT http://t.cn/A64XOTKQ http://t.cn/A6GUn8VF http://t.cn/A6GHlSLL http://t.cn/A6AWO3aC http://t.cn/A6qAvwUk ,敏感,转发,2020/12/28 15:10,@新浪财经 【#海南生活垃圾进入全焚烧时代# 日处理能力超万吨】海口市生活垃圾焚烧发电三期项目、文昌市生活垃圾焚烧发电二期项目、琼海市生活垃圾焚烧发电二期项目同时点火运营，标志着海南生活垃圾进入全焚烧时代。随着上述生活垃圾焚烧发电项目开始运营，海南省生活垃圾焚烧日处理能力达11575吨，处理能力首次超过全省生活垃圾产生量。http://t.cn/A6qjE716,蓝V,广东,东莞,男,#在微博一起12.12##好物推选官#@啊廖在线 #抖音号:A.LIAO##抖音音乐人##抖音直播##抖音音乐##直播带货##贝瑞66号化妆刷##抖音网红##抖音主播# http://t.cn/AisJpAaq http://t.cn/A6ysZbmT http://t.cn/A64XOTKQ http://t.cn/A6GUn8VF http://t.cn/A6GHlSLL http://t.cn/A6AWO3aC http://t.cn/A6qAvwUk 【原微博】 @新浪财经 【#海南生活垃圾进入全焚烧时代# 日处理能力超万吨】海口市生活垃圾焚烧发电三期项目、文昌市生活垃圾焚烧发电二期项目、琼海市生活垃圾焚烧发电二期项目同时点火运营，标志着海南生活垃圾进入全焚烧时代。随着上述生活垃圾焚烧发电项目开始运营，海南省生活垃圾焚烧日处理能力达11575吨，处理能力首次超过全省生活垃圾产生量。http://t.cn/A6qjE716,1105,69165,0,0,0,直播带货;抖音网红;海南生活垃圾进入全焚烧时代;抖音音乐人;抖音音乐;贝瑞66号化妆刷;抖音号:A.LIAO;抖音主播;好物推选官;在微博一起12.12;抖音直播,中性,"海南省,海南,海口市,文昌市,琼海市,海口", ,c843d8110f9f110aa34ffd2cadf60294,bafebea6ba1184891836b55c223e82ce,0ab169fcccba2182efe174f6f43c67e7,6c87a723ba495b516ccc5131f7737f98,0ab169fcccba2182efe174f6f43c67e7,6c87a723ba495b516ccc5131f7737f98
